,1.nx,2.ny,3.d,4.total iterations[MDF],5.total time[MDF],6.final_objective[MDF],7.str_count[MDF],8.aer_count[MDF],9.pro_count[MDF],10.total iterations[IDF_tol],11.total time[IDF_tol],12.final_objective[IDF_tol],13.str_count[IDF_tol],14.aer_count[IDF_tol],15.pro_count[IDF_tol]
0,12,12,0.3,10,713.6520690917969,-25.063042467647954,1964.0,1964.0,1580.0,16,899.5729289054871,-25.065130156906896,2620,2620,1996
0,12,12,0.3,11,591.1456561088562,-24.837883415115545,1544.0,1544.0,1256.0,21,907.7612309455872,-24.84412118871707,2824,2824,2152
0,12,12,0.3,10,616.7577111721039,-24.785067545222795,1940.0,1940.0,1556.0,13,732.7803890705109,-24.78587570767104,2412,2412,1836
0,12,12,0.3,9,528.0189909934998,-24.9318099997557,1504.0,1504.0,1216.0,35,1725.9662821292877,-24.939763365920033,2692,2692,2068
0,12,12,0.3,9,435.6394999027252,-2.0567585887529916,2080.0,2080.0,1660.0,13,591.1440348625183,-2.0567385651887924,2530,2530,1930
0,12,12,0.3,8,423.88089084625244,-2.0608795166445804,2075.0,2075.0,1655.0,10,324.17970991134644,-2.059157046131661,2040,2040,1560
0,12,12,0.3,8,467.2640190124512,-2.048080614375499,2165.0,2165.0,1745.0,7,289.10903787612915,-2.0448987651660078,1560,1560,1200
0,12,12,0.3,9,430.9891428947449,-2.0726014436265214,2135.0,2135.0,1715.0,14,512.7804839611053,-2.073300461204992,2780,2780,2120
0,12,12,0.3,8,442.88661003112793,-2.0458607686332617,2065.0,2065.0,1645.0,10,377.43767404556274,-2.044519042993949,2040,2040,1560
0,15,12,0.3,9,687.5735111236572,-2.0671066345395577,2260.0,2260.0,1840.0,11,466.04650807380676,-2.063982446874379,2275,2275,1795
0,25,12,0.3,10,1617.8373429775238,-2.0777555803895105,3325.0,3325.0,2845.0,20,2272.6816968917847,-2.07854949021045,4960,4960,4180
0,25,15,0.3,7,1623.8901720046997,-2.0585704881368403,2265.0,2265.0,1890.0,9,1346.9155650138855,-2.0556354222540443,2900,2900,2375
