,1.nx,2.ny,3.d,4.total iterations[MDF],5.total time[MDF],6.final_objective[MDF],7.str_count[MDF],8.aer_count[MDF],9.pro_count[MDF],10.total iterations[IDF_tol],11.total time[IDF_tol],12.final_objective[IDF_tol],13.str_count[IDF_tol],14.aer_count[IDF_tol],15.pro_count[IDF_tol]
0,3,3,0.3,10,24.053783178329468,-6.400140897343516,1310.0,1310.0,1205.0,28,26.65393304824829,-7.347406249579253,1415.0,1415.0,1130.0
0,3,3,0.3,7,30.43858790397644,-7.5112559888756625,1335.0,1335.0,1245.0,11,14.086482048034668,-7.53031219279902,780.0,780.0,645.0
0,3,3,0.3,11,35.02854084968567,-7.483187573178752,1495.0,1495.0,1375.0,21,16.121872186660767,-7.508369208859898,950.0,950.0,770.0
0,3,3,0.3,7,20.255967140197754,-8.32743914112854,1175.0,1175.0,1100.0,12,13.310792207717896,-8.331952570621445,855.0,855.0,690.0
0,3,3,0.3,7,18.767115116119385,-8.128621532776474,1125.0,1125.0,1035.0,20,15.916774988174438,-8.130055726587688,1085.0,1085.0,875.0
0,3,3,0.3,8,24.7560031414032,-7.551814194699324,1600.0,1600.0,1510.0,22,15.070489883422852,-7.552843528498434,1195.0,1195.0,970.0
0,3,3,0.3,8,31.249058961868286,-7.210595578619152,1920.0,1920.0,1815.0,20,16.163654804229736,-7.212158527129959,1235.0,1235.0,1010.0
0,3,3,0.3,16,77.17997288703918,-7.727855838795773,4000.0,4000.0,3805.0,26,22.02896285057068,-7.727339461008842,1395.0,1395.0,1140.0
0,3,3,0.3,9,39.75117802619934,-8.089795248379563,2485.0,2485.0,2380.0,14,12.225820064544678,-8.09053454228041,985.0,985.0,820.0
0,3,3,0.3,18,59.557029008865356,-8.123007707485696,3430.0,3430.0,3340.0,18,15.353429794311523,-8.127832572645644,1095.0,1095.0,900.0
