,1.nx,2.ny,3.d,4.total iterations[MDF],5.total time[MDF],6.final_objective[MDF],7.str_count[MDF],8.aer_count[MDF],9.pro_count[MDF],10.total iterations[IDF_tol],11.total time[IDF_tol],12.final_objective[IDF_tol],13.str_count[IDF_tol],14.aer_count[IDF_tol],15.pro_count[IDF_tol]
0,3,3,0.3,6,7.414000034332275,-8.014487702018739,575.0,575.0,500.0,20,12.207000017166138,-8.015876983600172,1080.0,1080.0,855.0
0,3,3,0.3,9,13.378999948501587,-8.220782466830112,975.0,975.0,855.0,25,12.108000040054321,-8.222534101808003,985.0,985.0,790.0
0,3,3,0.3,11,16.949999809265137,-7.963605995591507,1155.0,1155.0,1005.0,26,14.63700008392334,-7.977078746313713,1100.0,1100.0,875.0
0,3,3,0.3,17,21.008999824523926,-7.360673078648535,1435.0,1435.0,1285.0,39,24.046000003814697,-7.3609250769427454,1715.0,1715.0,1355.0
0,3,3,0.3,5,6.743000030517578,-7.90552169198586,470.0,470.0,410.0,21,13.77999997138977,-7.906510907657354,1070.0,1070.0,845.0
0,3,4,0.3,7,23.414999961853027,-7.975286132032103,1270.0,1270.0,1150.0,278,89.40999984741211,-8.277178424585031,4780.0,4780.0,3880.0
0,3,4,0.3,8,15.5,-9.719168467953399,945.0,945.0,825.0,62,45.918999910354614,-9.687951235728193,2855.0,2855.0,2155.0
0,3,4,0.3,11,22.81000018119812,-9.874988398956043,1315.0,1315.0,1155.0,265,81.45099997520447,-9.273956079216402,4560.0,4560.0,3660.0
0,3,4,0.3,16,40.0,-9.330451666085207,2095.0,2095.0,1915.0,15,18.34599995613098,-10.690775633421953,1115.0,1115.0,855.0
0,3,4,0.3,8,15.443000078201294,-10.027724992985878,830.0,830.0,710.0,164,76.91300010681152,-8.733053315862598,4185.0,4185.0,3245.0
0,3,5,0.3,18,75.55900001525879,-13.118478633018116,3340.0,3340.0,3040.0,21,24.935999870300293,-13.142311536941632,1305.0,1305.0,980.0
0,3,5,0.3,7,17.592999935150146,-12.59229232365962,810.0,810.0,685.0,24,31.55299997329712,-12.592848499503258,1555.0,1555.0,1130.0
0,3,5,0.3,10,34.82299995422363,-12.136143259418857,1420.0,1420.0,1245.0,57,67.84500002861023,-12.13141495855837,2910.0,2910.0,2135.0
0,3,5,0.3,244,159.42400002479553,-10.78845779050823,6815.0,6815.0,6040.0,327,125.25999999046326,-10.583222075576458,5380.0,5380.0,4230.0
0,3,5,0.3,11,25.12999987602234,-13.29002700353315,1330.0,1330.0,1155.0,15,19.151999950408936,-13.29845868027923,1145.0,1145.0,845.0
0,3,6,0.3,9,37.585999965667725,-14.700677623163305,1420.0,1420.0,1240.0,31,51.83500003814697,-14.708232881279116,2080.0,2080.0,1480.0
0,3,6,0.3,120,110.22300004959106,-15.331815737096782,4635.0,4635.0,3915.0,271,130.01200008392334,-15.390711747603563,5500.0,5500.0,4150.0
0,3,6,0.3,27,63.73199987411499,-14.6799237402302,2385.0,2385.0,2085.0,69,89.24399995803833,-14.338621341239044,3420.0,3420.0,2430.0
0,3,6,0.3,191,418.1640000343323,-13.090780502811425,17145.0,17145.0,16245.0,216,133.01699995994568,-14.834691418254195,5440.0,5440.0,4030.0
0,3,6,0.3,12,40.276000022888184,-13.646361118637026,1495.0,1495.0,1225.0,45,61.71300005912781,-13.698005311969347,2375.0,2375.0,1685.0
0,3,7,0.3,10,55.390000104904175,-18.664646724458468,1915.0,1915.0,1635.0,15,32.4520001411438,-18.675547648537137,1320.0,1320.0,935.0
0,3,7,0.3,179,186.81699991226196,-16.145835945771733,5975.0,5975.0,4960.0,390,224.75099992752075,-15.100611579537244,7240.0,7240.0,5420.0
0,3,7,0.3,193,281.8880000114441,-16.283221374835833,9925.0,9925.0,8840.0,187,151.89199995994568,-16.228808025732455,5340.0,5340.0,3835.0
0,3,7,0.3,11,42.36800003051758,-17.62651964235807,1495.0,1495.0,1215.0,25,51.33400011062622,-17.628216068199762,1910.0,1910.0,1315.0
0,3,3,0.4,6,10.248000144958496,-8.022740855129918,540.0,540.0,480.0,21,15.514000177383423,-8.024517500167594,1015.0,1015.0,805.0
0,3,3,0.4,8,14.773000001907349,-8.131119812202137,910.0,910.0,820.0,18,14.651000022888184,-8.132176369352297,1005.0,1005.0,810.0
0,3,3,0.4,8,16.375,-7.793784427202404,880.0,880.0,775.0,19,13.83299994468689,-7.812791282469505,835.0,835.0,670.0
0,3,3,0.4,8,41.5239999294281,-8.302865415721154,2355.0,2355.0,2250.0,14,13.725000143051147,-8.304362443376817,1305.0,1305.0,1125.0
0,3,3,0.4,11,18.781999826431274,-7.880632504190176,1055.0,1055.0,950.0,34,24.41600012779236,-7.881574311445052,1450.0,1450.0,1150.0
0,3,4,0.4,15,36.2039999961853,-9.998593398376446,1725.0,1725.0,1525.0,37,34.81399989128113,-10.004209005326306,1810.0,1810.0,1370.0
0,3,4,0.4,294,310.585000038147,-5.373784832071363,14185.0,14185.0,13565.0,61,41.37299990653992,-7.899520167565692,2000.0,2000.0,1540.0
0,3,4,0.4,7,13.088000059127808,-10.000177688161815,735.0,735.0,635.0,20,19.014999866485596,-10.001766563642994,1165.0,1165.0,885.0
0,3,4,0.4,7,20.337000131607056,-10.499997098942249,985.0,985.0,865.0,16,19.617000102996826,-10.509127707162932,1105.0,1105.0,845.0
0,3,4,0.4,10,23.91700005531311,-9.369673492932936,1095.0,1095.0,935.0,39,37.09299993515015,-9.37049408639841,1805.0,1805.0,1365.0
0,3,5,0.4,10,27.93499994277954,-11.795514420060375,1125.0,1125.0,950.0,39,51.89299988746643,-11.797898751079472,2190.0,2190.0,1590.0
0,3,5,0.4,10,26.575999975204468,-11.685576689027332,1055.0,1055.0,880.0,26,34.70900011062622,-11.682746100093183,1485.0,1485.0,1085.0
0,3,5,0.4,13,32.513999938964844,-12.078813109582075,1375.0,1375.0,1200.0,233,117.47900009155273,-11.669957561699258,4935.0,4935.0,3785.0
0,3,5,0.4,8,28.375999927520752,-13.05887904311604,1100.0,1100.0,925.0,18,23.91699981689453,-13.089287527060357,1065.0,1065.0,790.0
0,3,5,0.4,11,30.638000011444092,-12.52128718603489,1140.0,1140.0,965.0,30,42.47000002861023,-12.526263184175951,1660.0,1660.0,1210.0
0,3,6,0.4,9,48.7720000743866,-15.182334673090086,1445.0,1445.0,1205.0,36,64.99699997901917,-15.183813569818877,2185.0,2185.0,1555.0
0,3,6,0.4,7,26.92899990081787,-15.020649979092724,790.0,790.0,640.0,32,58.920000076293945,-14.391000693164202,1845.0,1845.0,1305.0
0,3,6,0.4,189,460.5590000152588,-12.650152529721927,14050.0,14050.0,13180.0,247,178.1449999809265,-13.056592924313193,5475.0,5475.0,4095.0
0,3,6,0.4,11,52.044999837875366,-14.618529569734084,1710.0,1710.0,1440.0,27,47.757999897003174,-14.649098161169809,1685.0,1685.0,1205.0
0,3,6,0.4,24,130.36899995803833,-13.293080882562265,3750.0,3750.0,3300.0,39,77.50599980354309,-14.053589553287491,2395.0,2395.0,1705.0
0,3,7,0.4,9,54.92699980735779,-17.975875480390744,1370.0,1370.0,1090.0,226,244.19500017166138,-16.232290113435916,6125.0,6125.0,4410.0
0,3,7,0.4,199,458.37599992752075,-12.872957860390727,13205.0,13205.0,12155.0,192,191.7369999885559,-14.127160202792307,5550.0,5550.0,3975.0
0,3,7,0.4,8,38.2020001411438,-17.558398999632324,1070.0,1070.0,895.0,39,89.2960000038147,-17.559587967929854,2590.0,2590.0,1785.0
0,3,7,0.4,9,54.6710000038147,-17.844106565515197,1405.0,1405.0,1125.0,29,76.95899987220764,-17.84541938328956,2145.0,2145.0,1480.0
0,3,7,0.4,118,310.90000009536743,-14.936237849317024,8455.0,8455.0,7370.0,199,222.52699995040894,-14.796779397404562,6095.0,6095.0,4345.0
0,3,3,0.5,7,16.217000007629395,-7.463833042866103,820.0,820.0,730.0,19,18.020999908447266,-7.464928704448615,1030.0,1030.0,820.0
0,3,3,0.5,7,14.6010000705719,-7.365758502602209,705.0,705.0,615.0,20,18.432999849319458,-7.367999245327627,1010.0,1010.0,800.0
0,3,3,0.5,8,12.983999967575073,-7.591140724159191,745.0,745.0,655.0,16,11.285000085830688,-7.60332886037934,740.0,740.0,590.0
0,3,3,0.5,9,16.312999963760376,-7.715839934569132,935.0,935.0,815.0,14,11.025000095367432,-7.72211130333568,745.0,745.0,595.0
