,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.3,-7.985044311954818,4,3,6,8.8989999294281,-7.988811324107437,17,12.10700011253357
0,0.3,-5.306599394345755,4,3,13,17.282999992370605,-6.364757866435187,28,19.698000192642212
0,0.3,-7.4013998425945555,4,3,6,7.766000032424927,-7.408782631589089,20,15.675999879837036
0,0.3,-7.579867830444975,4,3,10,15.444000005722046,-7.578031147151869,15,14.289000034332275
0,0.3,-7.877390125863903,4,3,15,25.63100004196167,-7.860185065603855,32,22.717000007629395
0,0.3,-12.771646882536764,4,5,11,32.615999937057495,-12.773433214145118,16,24.8510000705719
0,0.3,-11.77383593361734,4,5,14,25.633000135421753,-11.135560454638206,232,112.09699988365173
0,0.3,-12.976000321054475,4,5,15,40.89800000190735,-12.980371094298363,21,27.079999923706055
0,0.3,-12.47116258452596,4,5,14,42.56699991226196,-12.474097780867151,30,35.168999910354614
0,0.3,-12.931249016673593,4,5,9,26.141000032424927,-12.933894763150814,18,30.060999870300293
0,0.3,-24.710415345023094,4,10,9,87.875,-24.72010403550555,50,191.95000004768372
0,0.3,-24.13534650169147,4,10,15,132.9100000858307,-22.820957072563818,122,348.6399998664856
0,0.3,-23.922524454957315,4,10,11,101.19599986076355,-24.036467987341304,187,363.393000125885
0,0.3,-23.667133736722914,4,10,152,427.12599992752075,-24.853353036398833,338,347.6470000743866
0,0.3,-22.68830139413189,4,10,228,995.4179999828339,-23.475178687411542,252,341.02699995040894
0,0.3,-7.731908298499851,10,3,16,96.10899996757507,-7.711582292070247,13,50.79200005531311
0,0.3,-7.834537034782414,10,3,9,45.723000049591064,-7.82991631331206,10,40.875
0,0.3,-7.6147934261616435,10,3,11,58.062000036239624,-7.617078686934334,14,47.03699994087219
0,0.3,-7.63255413198416,10,3,14,83.14000010490417,-7.627900726573044,10,40.967000007629395
0,0.3,-7.985125484367908,10,3,10,52.96399998664856,-7.986044151912842,11,49.729000091552734
0,0.3,-12.877306881327593,10,5,11,105.32299995422363,-12.8824988763943,15,79.88899993896484
0,0.3,-12.60921410324679,10,5,9,72.8050000667572,-12.61208551188242,14,89.84999990463257
0,0.3,-12.895140634346731,10,5,10,81.23599982261658,-12.898101715501399,21,96.65699982643127
0,0.3,-12.595230961206044,10,5,11,101.05799984931946,-12.596514360054684,12,68.30900001525879
0,0.3,-12.715372170033062,10,5,9,72.55099987983704,-12.723876756442657,11,66.01700019836426
