,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],final_objective[IDF],total iterations[IDF],total time[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,-5.025862495878371,7,2,34,374.3760452270508,-5.025814252872239,49,366.5487251281738,-5.025585025588815,12,88.91463279724121
0,-7.687631331993961,7,3,15,306.0414659976959,-7.687686059016963,19,290.81972098350525,-7.68836719212492,11,183.7121229171753
0,-9.983709748129844,7,4,14,313.53642106056213,-9.983795821324204,20,374.692195892334,-9.984860109655612,12,148.62608909606934
0,-12.336907652242424,7,5,16,413.3690679073334,-12.33704911937277,33,733.4077169895172,-12.338742847982285,23,308.7339141368866
0,-14.938624476975264,7,6,10,300.51283597946167,-14.938820848291748,27,641.6046068668365,-14.940518827785857,19,262.0676109790802
0,-16.99710737730875,7,7,21,763.100419998169,-16.9973823099036,57,1154.9770979881287,-17.013793649013273,21,394.6712508201599
0,-18.74332189701543,7,8,18,1169.175994157791,-18.74218823338889,34,1141.2767720222473,-18.743614721569433,26,885.6073110103607
0,-21.602188502670444,7,9,15,949.3058888912201,-21.602696173943368,66,1699.5124640464783,-21.627070304069527,49,942.6094710826874
0,-23.857427916651837,7,10,21,1318.1409149169922,-23.864176721477964,77,1555.7647080421448,-23.88322577047101,47,935.5855600833893
0,-25.418033754582854,7,11,106,5755.833651065826,-25.420212665894212,278,4806.934268951416,-25.473638823233422,57,1579.9541058540344
0,-27.019618431053658,7,12,69,4697.483335971832,-27.72384238007035,115,3394.0860619544983,-27.738415318665453,80,2121.6817450523376
0,-29.546160817108348,7,13,29,1984.1456158161163,-29.69243706535242,117,3343.974982023239,-29.722147029742924,89,2102.2375569343567
0,-33.37842153967534,7,14,18,1613.2727279663086,-33.37942826433748,137,6407.200099945068,-33.43588514368039,71,2566.5299310684204
0,-35.99131977654423,7,15,20,3408.6234340667725,-35.99235422232684,140,9215.062751054764,-36.02266777615213,81,4804.654980897903
,,,,,,,,,,,
