,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],final_objective[IDF],total iterations[IDF],total time[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.3,-7.955803775080296,6,3,20,129.3665099143982,-7.9559478206341225,34,101.83953714370728,-7.961165042109943,15,44.65343379974365
0,0.3,-9.938912753954938,6,4,29,213.04524207115173,-9.939045264930215,40,150.47759199142456,-9.932980873054353,13,53.82437515258789
0,0.3,-12.127851475532701,6,5,19,265.4940152168274,-12.128201631796475,45,276.22866320610046,-12.128416399806731,17,108.96794199943542
0,0.3,-14.832021605018916,6,6,22,268.99669909477234,-14.832577875163892,52,235.67686319351196,-14.847407061370564,25,134.64980006217957
0,0.3,-17.696923374566104,6,7,21,387.83381819725037,-17.697254646655402,55,502.8785638809204,-17.703655647854937,27,290.528666973114
0,0.3,-20.16186393605991,6,8,13,350.68999218940735,-20.162215260104265,39,584.4734108448029,-20.163170253892734,33,369.0242118835449
0,0.3,-22.205862474473356,6,9,16,417.9412178993225,-22.206574016846474,71,809.5780971050262,-22.232801968408648,32,310.028568983078
0,0.3,-24.374328999196415,6,10,28,522.298810005188,-20.378317825831168,280,1218.4638550281525,-20.378317825831168,280,1214.5451140403748
0,0.4,-7.816533905493724,6,3,18,142.93581819534302,-7.816587084710868,41,136.97181010246277,-7.815476177343575,10,40.224311113357544
0,0.4,-9.844461183401425,6,4,35,305.4247739315033,-9.844575485449404,81,350.97626399993896,-9.82785948153651,14,68.7416000366211
0,0.4,-12.329649802097062,6,5,31,443.9979319572449,-12.329905848435128,45,301.7643129825592,-12.328852505404898,24,176.29591298103333
0,0.4,-14.86516637862258,6,6,75,1158.3550171852112,-14.865441274668147,55,358.4318940639496,-14.87113038176042,25,188.749596118927
0,0.4,-17.303083235179763,6,7,20,470.02090406417847,-17.30336990542335,48,474.214204788208,-17.31203562928834,24,210.73574995994568
0,0.4,-20.17735056017939,6,8,12,350.8458070755005,-20.177731234425742,40,503.54591488838196,-20.178904117689562,31,353.9965109825134
0,0.4,-22.457093304765905,6,9,14,627.9789140224457,-22.457490838557476,61,926.4023151397705,-22.477774609055878,29,420.302855014801
0,0.4,-23.552189664248303,6,10,43,1696.1232118606567,-23.5528175784786,83,1260.3261198997498,-23.559985944001355,45,825.3972728252411
0,0.5,-7.902251040364606,6,3,13,106.3865749835968,-7.902303498319789,25,128.22913599014282,-7.909920590506333,10,40.08364510536194
0,0.5,-9.911911423052706,6,4,10,189.19072818756104,-9.912035710251596,24,176.57804107666016,-9.913564841247144,16,102.537358045578
0,0.5,-12.760817887830786,6,5,12,266.5376467704773,-12.760949691388753,28,372.9432189464569,-12.763457746609035,18,186.590961933136
0,0.5,-14.91801638940453,6,6,29,616.6153419017792,-14.918232885377389,49,547.0996961593628,-14.91971849620322,32,361.6339521408081
0,0.5,-16.912706826460695,6,7,24,715.781005859375,-16.91310669457676,58,712.1337900161743,-16.91516107583028,28,436.75563311576843
0,0.5,-19.001701013387432,6,8,14,537.9933860301971,-19.00220829027996,35,644.4516689777374,-19.00388351521654,26,424.27151107788086
0,0.5,-22.315227387274646,6,9,15,659.006264925003,-22.31560261152525,95,1495.6352829933167,-22.311260721193456,28,487.9075469970703
0,0.5,-23.171408951164935,6,10,116,3153.804656982422,-23.14378826218237,97,1808.166293144226,-23.150907057044765,61,1194.9101450443268
0,0.6,-7.1407734362773585,6,3,13,178.75837302207947,-7.140654629002672,35,212.16946601867676,-7.143384944134183,23,132.1356360912323
0,0.6,-9.826287647476429,6,4,15,266.8228211402893,-9.82651459318395,32,249.58767294883728,-9.827866038727056,23,163.74089694023132
0,0.6,-12.103680611892148,6,5,14,246.78262305259705,-12.103873656336178,24,247.33666586875916,-12.104723102054034,19,173.09940099716187
0,0.6,-14.195394525332318,6,6,18,479.36496210098267,-14.195696691181379,51,592.8394749164581,-14.211298948920609,24,247.40680599212646
0,0.6,-16.281068243719755,6,7,35,1092.6117029190063,-16.281565309885977,73,907.106213092804,-16.282639800870143,60,749.5049810409546
0,0.6,-18.886204766381546,6,8,19,994.5525579452515,-18.886836489995368,36,837.1009418964386,-18.889034526205208,29,707.9413340091705
0,0.6,-21.01567775348223,6,9,23,1044.188572883606,-21.016686913438264,64,1169.8983762264252,-21.01902530260542,51,910.0322620868683
0,0.6,-24.07379862794741,6,10,25,1060.8058230876923,-24.14323739055837,60,1131.1947829723358,-24.18914779330109,25,483.47984290122986
0,0.7,-7.947189265091657,6,3,14,231.67642188072205,-7.947231307395576,34,225.66821122169495,-7.949215675282755,12,99.89609003067017
0,0.7,-9.651204930807687,6,4,41,621.5703029632568,-9.650366629909,28,225.0319631099701,-9.651710343387277,18,157.86139488220215
0,0.7,-11.475489342315798,6,5,14,369.25826501846313,-11.475810291568603,33,426.85572600364685,-11.47744997700258,24,253.20969104766846
0,0.7,-14.914256154320459,6,6,36,921.5745232105255,-14.914477986703723,47,661.8544359207153,-14.918743198521906,27,349.5374000072479
0,0.7,-16.502267534573587,6,7,21,820.7354791164398,-16.517986771329248,60,915.2003989219666,-16.575455982881603,27,368.8238561153412
0,0.7,-18.92378679421385,6,8,14,700.5521759986877,-18.924199914607584,42,908.0870790481567,-18.925264465076644,32,630.0525290966034
0,0.7,-21.273612863186248,6,9,16,1127.4642941951752,-21.27406027066538,45,1305.3622679710388,-21.276035296634557,32,833.3849289417267
0,0.7,-23.361502928077428,6,10,21,1358.703104019165,-23.362073416686084,65,1843.0820860862732,-23.378216736639118,34,844.5381639003754
,,,,,,,,,,,,
