,d,nx,ny,final_objective[MDF],total iterations[MDF],total time[MDF],final_objective[IDF],total iterations[IDF],total time[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.3,7,2,-5.283973582815809,25,132.48218703269958,-5.284000351980404,44,172.24043488502502,-5.2828131036548545,13,59.03076791763306
0,0.4,7,2,-5.268791064012364,35,297.6076350212097,-5.268811177662246,56,236.22993516921997,-5.272038804686398,11,45.54273986816406
0,0.5,7,2,-5.10760018607673,44,458.25971484184265,-5.107632696759053,26,168.3487958908081,-5.10818156299595,12,72.05888414382935
0,0.6,7,2,-5.096598660971028,15,179.02879095077515,-5.096626883184461,17,135.9667580127716,-5.0973996032581415,10,70.3301351070404
0,0.7,7,2,-5.028745014361901,34,521.1272261142731,-5.028770168692315,50,424.663290977478,-5.027714650153389,8,70.73207592964172
0,0.8,7,2,-5.041450355403746,21,422.64943408966064,-5.041474502694351,52,481.15247106552124,-5.035077610963279,9,75.60566091537476
0,0.3,7,7,-17.92042295415176,12,320.09962797164917,-17.92061855315619,34,464.25258708000183,-17.922150737149163,25,320.8458580970764
0,0.4,7,7,-17.36074034330191,24,778.982507944107,-17.360971563753242,65,920.3642199039459,-17.383996627630445,18,296.4912109375
0,0.5,7,7,-17.329397356821,13,496.1338999271393,-17.329677800195658,55,984.1677958965302,-17.33681473049098,24,373.3901581764221
0,0.6,7,7,-16.615240562203166,15,726.3752779960632,-16.615555227554683,33,763.3878440856934,-16.61742081590372,24,499.322793006897
0,0.7,7,7,-16.966506975182742,14,708.3827450275421,-16.999391084730288,94,1971.865249156952,-16.991909613649938,33,610.745934009552
0,0.8,7,7,-16.566955389226493,59,2794.9319519996643,-16.56724387697111,66,1792.7959580421448,-16.59487543559577,19,449.62651109695435
0,0.3,7,8,-19.25862625639852,32,933.8069379329681,-19.259028744198055,70,848.3639988899231,-19.288539099103573,23,261.8635518550873
0,0.4,7,8,-19.75277127494034,14,516.1165430545807,-19.753056668223664,31,601.00674700737,-19.754286513094126,24,407.99149799346924
0,0.5,7,8,-18.746533198127395,28,1235.415914773941,-18.747081487438873,74,1374.024652004242,-18.755567270447948,34,683.4445078372955
0,0.6,7,8,-19.068499815861852,14,1050.2279660701752,-19.06899638375111,39,1109.9288301467896,-19.07054910753273,31,800.9224989414215
0,0.7,7,8,-18.503294213446264,23,1591.6177308559418,-18.70389136914795,70,2146.2605159282684,-18.7069197016695,46,1165.0763790607452
0,0.8,7,8,-18.506537544342983,50,3450.182286977768,-18.507345336096165,97,2634.689202070236,-18.557956088934432,55,1590.8684661388397
0,0.3,7,9,-20.770308424902115,23,914.7275309562683,-21.03139322196042,104,1604.6829750537872,-21.03101005197958,25,338.76280212402344
0,0.4,7,9,-21.78387924305622,16,928.5416460037231,-21.78441702409074,35,627.8059849739075,-21.787042160973417,25,394.7479100227356
0,0.5,7,9,-17.24981707829397,56,2600.691817045212,-21.142624531712116,52,11787.850010871887,-21.143280528914925,39,758.0201549530029
0,0.6,7,9,-21.480339526658824,13,778.4512901306152,-21.480790705573284,42,1377.111850976944,-21.51125717527999,23,499.5479271411896
0,0.7,7,9,-20.852452571817192,34,2005.6168630123138,-20.85307072737437,75,1946.2565779685974,-20.863471628069,44,942.8065841197968
0,0.8,7,9,-20.19366588674849,44,3033.4103808403015,-20.151446168663462,63,1945.9199409484863,-20.173988031738435,47,1324.1138110160828
,,,,,,,,,,,,
