,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.5,-17.129496564789473,20,7,8,429.97499990463257,-17.143201533601218,15,737.4530000686646
0,0.5,-17.17797939975286,20,7,10,635.260999917984,-17.18670024046049,17,789.6230001449585
0,0.5,-17.022095399717664,20,7,9,540.3710000514984,-17.025240362940686,19,814.4909999370575
0,0.5,-17.131515987620624,20,7,10,624.2860000133514,-17.13706268665321,12,621.9810001850128
0,0.5,-16.921020869702435,20,7,142,2611.1259999275208,-16.933073794581517,15,715.7420001029968
0,0.5,-30.42920589525556,5,15,139,2003.0469999313354,-31.62627198084712,45,663.1909999847412
0,0.5,-31.176893485089792,5,15,142,1700.305999994278,-34.48858806397449,203,927.6679999828339
0,0.5,-36.0819451192108,5,15,15,493.3670001029968,-36.10159390609216,57,949.300999879837
0,0.5,,5,15,153,1205.2019999027252,-33.75530563921839,100,821.1870000362396
0,0.5,-32.195884886857485,5,15,178,2158.292999982834,-32.40495544237886,135,1043.422000169754
0,0.5,-31.31476478254672,5,15,137,1543.8980000019073,-34.317846833784564,231,1197.0140001773834
0,0.5,-33.715676296801696,5,15,150,1507.8650000095367,-30.497112267689882,160,1025.694000005722
0,0.5,-30.48936906008921,5,15,142,1586.4649999141693,-31.330250151470523,138,1024.6909999847412
0,0.5,-34.858787509188396,5,15,104,1217.6819999217987,-35.00435193724463,56,756.4249999523163
0,0.5,-35.43012304684405,5,15,20,556.6670000553131,-35.66479829672326,70,982.6590001583099
