,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],final_objective[IDF],total iterations[IDF],total time[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.4,-10.47490823592022,5,4,74,616.4334781169891,-10.474974108274864,36,172.2231969833374,-10.48270068948134,15,68.61282706260681
0,0.4,-10.232615177200676,5,4,35,355.0428659915924,-10.232724126197787,35,152.1962149143219,-10.234263583495522,19,90.59805798530579
0,0.4,-10.424095079088925,5,4,13,150.87588095664978,-10.424181602878072,39,173.85826897621155,-10.429450018662097,19,75.434396982193
0,0.4,-10.19972070172917,5,4,13,115.21064901351929,-10.199840385623014,29,171.29094696044922,-10.20355674132812,18,66.75157713890076
0,0.4,-10.225937506821136,5,4,13,143.5760440826416,-10.226051145304773,31,115.6907320022583,-10.23805646870212,17,56.51477003097534
0,0.4,-9.935045860974348,5,4,17,227.60937905311584,-9.935187744477112,23,135.8505220413208,-9.937033049750248,11,64.60307693481445
0,0.4,-10.193285910103196,5,4,22,284.3722870349884,-10.193401784863873,49,246.9252519607544,-10.205885970099773,15,69.36901903152466
0,0.4,-10.18172202062409,5,4,20,281.66886591911316,-10.181873647526308,118,464.5102150440216,-10.168713501096901,14,90.38997197151184
0,0.4,-10.19928299264821,5,4,11,131.39173793792725,-10.199365009208964,25,166.52070903778076,-10.200285603088378,17,99.9723129272461
0,0.4,-10.353037493828952,5,4,12,138.85716485977173,-10.353176077944457,28,128.35954189300537,-10.354546070293992,18,76.48405694961548
0,0.5,-10.103119483548783,5,4,18,207.22099590301514,-10.103231456476081,48,201.13847494125366,-10.112759805808455,33,107.50311589241028
0,0.5,-9.94986177367198,5,4,13,160.70600008964539,-9.95001142232989,28,188.03242111206055,-9.952610358153933,16,91.06110405921936
0,0.5,-10.030108403017433,5,4,13,122.6806538105011,-10.03027285803252,49,253.11979484558105,-10.043442393440158,20,72.73625111579895
0,0.5,-10.129705096283553,5,4,10,120.75737690925598,-10.129789578399336,26,125.05261397361755,-10.130810276712987,18,77.21349906921387
0,0.5,-9.969931563173542,5,4,12,98.05146718025208,-9.970051187762646,37,131.50129103660583,-9.972633179875643,17,64.44230198860168
0,0.5,-9.205264541709408,5,4,15,131.8651909828186,-9.237405123792781,33,122.9062979221344,-9.238339393967308,28,92.08890295028687
0,0.5,-9.862899468954678,5,4,14,115.16289496421814,-9.863027957466393,28,110.87610793113708,-9.864271716015903,13,55.26338982582092
0,0.5,-10.301962956529533,5,4,13,116.79792785644531,-10.302097072598158,55,208.6672031879425,-10.308619624709891,16,55.549092054367065
0,0.5,-9.784689734774647,5,4,18,160.6711790561676,-9.784819936135719,55,187.92957401275635,-9.800719811447372,24,69.69254088401794
0,0.5,-9.276305298616077,5,4,15,126.72696089744568,-9.276570708835116,30,110.34859681129456,-9.277240381422123,25,84.97262001037598
0,0.6,-9.982125240591966,5,4,11,122.04130911827087,-9.982212790898748,26,131.32848691940308,-9.983525300858904,18,80.7079291343689
0,0.6,-9.578905710152277,5,4,13,136.67099595069885,-9.57913664548241,25,130.52402591705322,-9.580261868405564,18,85.9828519821167
0,0.6,-9.433665214956587,5,4,21,221.8486728668213,-9.433878352973025,34,154.64192485809326,-9.437255573948047,25,102.43124413490295
0,0.6,-9.767102231286948,5,4,10,104.07194900512695,-9.767236694822298,26,133.8735010623932,-9.769651434835085,16,73.81877517700195
0,0.6,-9.927472721256844,5,4,10,128.9258999824524,-9.927582182313396,33,160.9830949306488,-9.942166973194178,12,57.195972204208374
0,0.6,-9.879862499403973,5,4,11,122.3611810207367,-9.879951198706621,26,148.95153093338013,-9.880990500225211,18,101.06987500190735
0,0.6,-9.797515633191383,5,4,9,81.4215440750122,-9.79760858746058,27,143.33212399482727,-9.799219845228148,17,84.09540605545044
0,0.6,-9.828760857310288,5,4,11,146.99152421951294,-9.82887387127153,26,159.75918793678284,-9.840317983236071,10,51.52853798866272
0,0.6,-9.744730297346017,5,4,10,139.16790795326233,-9.74484949511638,24,141.9326319694519,-9.746177210622822,16,83.12466192245483
0,0.6,-9.955983329886136,5,4,25,253.6685140132904,-9.956113897094337,42,177.87476897239685,-9.9586910118095,12,73.3834490776062
