,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],final_objective[IDF],total iterations[IDF],total time[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,-5.133969791750999,7,2,19,245.37328600883484,-5.133997347049801,22,170.65657091140747,-5.13508831930071,11,66.57342481613159
0,-7.6768445789436175,7,3,23,395.7365710735321,-7.676893170360561,37,398.5376181602478,-7.676892697765906,11,114.4655499458313
0,-10.048975487002798,7,4,23,389.83018589019775,-10.049090423941983,51,462.68285298347473,-10.041928989809872,19,183.11288809776306
0,-12.760620613774458,7,5,20,566.0954461097717,-12.760715210018688,25,393.66228914260864,-12.76176248837725,15,209.78122806549072
0,-14.548657310054875,7,6,34,1195.0081181526184,-14.548905153231424,43,799.0994970798492,-14.561035744331253,23,393.2607069015503
0,-16.906165240184677,7,7,18,765.2930099964142,-16.90671312889302,33,690.65119099617,-16.90797441799568,26,501.8950970172882
0,-19.230232077187345,7,8,32,1162.0520198345184,-19.23055163429712,54,1112.3590440750122,-19.231952945776143,35,626.3079700469971
0,-20.727704190608545,7,9,46,2464.4589879512787,-20.738540691643404,71,1760.893926858902,-20.740367006366494,53,1281.3781778812408
0,-23.8336356813902,7,10,29,1878.4207911491394,-23.834147584468003,43,1496.7088091373444,-23.83532709897763,30,975.5813090801239
,,,,,,,,,,,
