,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],total iterations[IDF],total time[IDF],final_objective[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.5,-7.551372368599624,15,3,10,453.3689818382263,,,,-7.552098603729524,10,338.30625200271606
0,0.5,-7.5233104789079865,15,3,8,359.01737904548645,,,,-7.525094766921557,9,311.610622882843
0,0.5,-7.638502138374584,15,3,12,572.85964012146,,,,-7.639380939145678,24,638.5564000606537
0,0.5,-7.506834743437409,15,3,13,735.9034948348999,,,,-7.494535169521354,8,296.8995451927185
0,0.5,-9.825364416548103,15,4,11,619.0293271541595,,,,-9.824992150990408,15,526.9393208026886
0,0.5,-10.068142112465841,15,4,10,629.5202088356018,,,,-10.06736846159778,12,440.6345148086548
0,0.5,-9.937057017450012,15,4,10,556.7388479709625,,,,-9.938815842676316,10,419.0183410644531
0,0.5,-9.898870262071448,15,4,8,427.18932008743286,,,,-9.903006611417691,11,418.0143120288849
0,0.5,-12.460237904757346,15,5,10,616.9586288928986,,,,-12.46147405580444,14,647.203959941864
0,0.5,-12.364525454066737,15,5,11,662.2189328670502,,,,-12.365237782869201,13,574.1246221065521
0,0.5,-12.138593788609146,15,5,13,758.7942759990692,,,,-12.133483442972834,21,672.5828850269318
0,0.5,-12.333073681403192,15,5,12,829.9574680328369,,,,-12.330765913231854,15,623.6339209079742
0,0.5,-14.504083559962712,15,6,9,634.7055969238281,,,,-14.506641017654971,16,772.2984430789948
0,0.5,-14.435663903808118,15,6,12,918.9077010154724,,,,-14.443070470450586,17,697.1696031093597
0,0.5,-14.647753643598401,15,6,11,856.5901818275452,,,,-14.652079408432417,12,597.129734992981
0,0.5,-14.809721796833418,15,6,14,1137.495682001114,,,,-14.802727675344945,17,691.049085855484
0,0.5,-16.44173025465792,15,7,11,1058.8511521816254,,,,-16.444851208467192,11,752.6539850234985
0,0.5,-16.798765520219114,15,7,11,1248.8728330135345,,,,-16.802639327646737,12,1081.7642159461975
0,0.5,-17.323837255272874,15,7,9,1220.2230620384216,,,,-17.325260109838673,18,1894.7009420394897
0,0.5,-17.21505195991086,15,7,10,1341.8265161514282,,,,-17.227080807005237,17,1205.8282959461212
0,0.5,-19.1968724162373,15,8,9,1039.5159010887146,,,,-19.198401045838388,19,1082.680839061737
0,0.5,-19.446750259532838,15,8,11,1929.4367170333862,,,,-19.448736333368892,20,1843.1537969112396
0,0.5,-19.310913099501338,15,8,8,865.0923080444336,,,,-19.334573974641017,15,975.2689871788025
0,0.5,-19.25201332908322,15,8,15,1955.2833960056305,,,,-19.243419503277,16,1234.574254989624
,,,,,,,,,,,,
