,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],total iterations[IDF],total time[IDF],final_objective[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.6,-6.835322402218502,3,3,11,43.523496866226196,,,,-6.859571301708636,25,35.890198945999146
0,0.6,-7.125872565987607,3,3,11,48.863407135009766,,,,-7.133374105995959,18,26.019078969955444
0,0.6,-7.303784799689895,3,3,7,47.849024057388306,,,,-7.305897231678694,22,31.731159925460815
0,0.6,-7.7876409258229415,3,3,9,49.13706398010254,,,,-7.793671135790939,21,39.707725048065186
0,0.6,-7.484587539035173,3,3,9,39.39573407173157,,,,-7.487291557936407,16,24.63720703125
0,0.6,-9.86913514192764,3,4,7,69.4262330532074,,,,-9.87050587480256,19,49.92929720878601
0,0.6,-8.832066874330826,3,4,8,71.95418405532837,,,,-8.849777860384641,25,49.7160267829895
0,0.6,-9.734155199680972,3,4,8,75.54610085487366,,,,-9.748422568742887,23,58.81137990951538
0,0.6,-10.097242063251548,3,4,7,76.32157015800476,,,,-10.099549050710177,18,59.406594038009644
0,0.6,-10.035758688870843,3,4,8,70.10321497917175,,,,-10.046187495793507,28,64.19821500778198
0,0.6,-11.978114425650595,3,5,11,184.47242498397827,,,,-12.012907623952138,41,129.00812101364136
0,0.6,-13.261524351549328,3,5,6,95.31673789024353,,,,-13.263237141537553,21,85.02919411659241
0,0.6,-8.058896871530818,3,5,26,259.36469411849976,,,,-8.466193754537333,88,259.87213611602783
0,0.6,-12.829160572987117,3,5,7,82.88734102249146,,,,-12.831062628711685,20,80.13524603843689
0,0.6,-10.952561578436647,3,5,13,172.8708610534668,,,,-10.93182179929201,59,160.19912099838257
0,0.6,-12.966397190218391,3,6,25,547.2151041030884,,,,-13.015026684842049,61,301.5089819431305
0,0.6,-13.77652398456211,3,6,10,189.0297749042511,,,,-13.788350295467499,47,226.59271597862244
0,0.6,-13.880920242257055,3,6,9,226.21675491333008,,,,-13.942522803848114,25,147.95387196540833
0,0.6,-14.394518223174956,3,6,12,297.57440280914307,,,,-14.396464693145457,34,223.88704800605774
0,0.6,-12.831711663221643,3,6,38,1252.5077729225159,,,,-13.434991318289857,43,303.4109501838684
0,0.6,-15.987804120039677,3,7,13,149.26753211021423,,,,-16.033004382972784,39,152.57035303115845
0,0.6,-17.04765599981595,3,7,16,309.3349919319153,,,,-17.082410071540167,36,185.0041959285736
0,0.6,-17.200503891320807,3,7,7,106.14101910591125,,,,-17.202439363882824,26,132.87182998657227
0,0.6,-15.626771463114473,3,7,6,141.6894850730896,,,,-15.62821843544684,47,289.2671458721161
0,0.6,-17.052712392208235,3,7,9,139.29706692695618,,,,-17.06039320651744,49,255.05489587783813
0,0.6,-19.179283525709884,3,8,16,280.5706298351288,,,,-19.318637590077152,44,209.68109893798828
0,0.6,-17.945774885748698,3,8,217,1387.9121618270874,,,,-17.48652264326386,83,350.6569998264313
0,0.6,-18.81618313929252,3,8,11,215.8445270061493,,,,-18.850961173621773,41,215.12707996368408
0,0.6,-19.602401503693784,3,8,17,433.42422699928284,,,,-19.61412638150736,33,254.85712599754333
0,0.6,-19.998546728174592,3,8,13,256.16804695129395,,,,-20.026139318229177,27,178.00017595291138
0,0.6,-19.549370749453647,3,9,21,659.7481641769409,,,,-20.275498481949228,59,410.2513699531555
0,0.6,-22.786608920566405,3,9,12,566.4395771026611,,,,-22.827567198203216,43,418.09237694740295
0,0.6,-20.72810568775084,3,9,13,481.9227468967438,,,,-21.137281618282877,51,570.8842689990997
0,0.6,-22.52814952341325,3,9,21,832.694657087326,,,,-22.537302074656345,34,416.47537899017334
0,0.6,-20.803963244938906,3,9,31,748.2968380451202,,,,-20.838593674589468,60,475.5930058956146
,,,,,,,,,,,,
