,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.6,-7.553197481749137,4,3,11,34.97499990463257,-7.554788191084681,28,44.25
0,0.6,-7.168663756253366,4,3,8,30.73300004005432,-7.169786552669569,15,30.332000017166138
0,0.6,-7.340331451211329,4,3,8,28.194000005722046,-7.341912979869187,18,31.371000051498413
0,0.6,-7.396560607228224,4,3,6,17.825999975204468,-7.401081666369605,15,27.290000200271606
0,0.6,-9.873087417639589,4,4,10,46.82300019264221,-9.874804377404757,17,46.4449999332428
0,0.6,-9.705603832866178,4,4,9,49.2960000038147,-9.71475072070221,19,48.223000049591064
0,0.6,-9.74235803573761,4,4,11,54.175999879837036,-9.744040280863686,16,45.48800015449524
0,0.6,-8.708669700553314,4,4,14,59.651000022888184,-8.912975918845031,24,60.43499994277954
0,0.6,-14.017526497632659,4,6,8,65.3989999294281,-14.04612534856729,29,106.3600001335144
0,0.6,-13.940831407802762,4,6,14,110.7260000705719,-13.979088602317827,34,123.11299991607666
0,0.6,-14.436420139896606,4,6,8,72.84099984169006,-14.440424431803391,44,178.47100019454956
0,0.6,-13.791418035897745,4,6,15,131.56500005722046,-13.89963207499541,27,120.40100002288818
0,0.6,-15.574018595865027,4,7,22,186.15100002288818,-15.998180345638824,41,192.65199995040894
0,0.6,-16.174309330035065,4,7,29,314.12400007247925,-16.005838556655608,51,283.10599994659424
0,0.6,-17.036705150241293,4,7,14,133.78099989891052,-17.081915811915778,23,97.00699996948242
0,0.6,-17.375341061094904,4,7,9,115.37800002098083,-17.375659746005695,33,207.19199991226196
0,0.6,-19.556649675568003,4,8,7,130.53200006484985,-19.559848599942562,21,199.22099995613098
0,0.6,-18.824805897110352,4,8,21,290.29699993133545,-18.856425555154843,41,256.2339999675751
0,0.6,-18.610151823593267,4,8,10,123.52300000190735,-18.60947666939255,43,292.146999835968
0,0.6,-19.04126716621522,4,8,12,164.71299982070923,-19.04275051083021,32,241.88699984550476
0,0.6,-17.625539357178262,4,9,16,248.12900018692017,-18.431231201010533,115,573.316999912262
0,0.6,-21.186273162130313,4,9,32,616.4270000457764,-21.177799909753446,44,430.61300015449524
0,0.6,-21.661053117840407,4,9,27,483.00999999046326,-21.700106435239782,31,270.68499994277954
0,0.6,-21.206640428000842,4,9,15,298.65499997138977,-21.236421020617286,40,330.61899995803833
